trial,cv_mae,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,n_jobs,random_state,verbosity
79,9.557801194749436,145,3,0.03232873187953118,0.5994242711194208,0.8212311556651078,8,1.0953483229591072,0.0003300303689947712,1.684935173061218,-1,42,0
80,9.602890166411528,230,2,0.08154608587465272,0.6525819366530999,0.8542670644402015,8,0.5679534036232945,0.002291207970607805,1.5510829249301676,-1,42,0
81,9.613635989421123,413,2,0.046724118239212374,0.6786532180748817,0.8675629655449832,11,0.23057103661311198,0.003516643259999469,1.8553020839010452,-1,42,0
82,9.413122349438366,103,2,0.06826977458684583,0.6262747113890407,0.9023891558775429,9,0.20202848239991697,0.011042378767193405,1.755693692254344,-1,42,0
83,9.411567973575076,192,2,0.04015966443782254,0.6401267693365155,0.939933468324795,10,0.11655805415279455,0.00010649852832985616,1.627955904564481,-1,42,0
84,9.415025657585076,309,2,0.033842075298351516,0.7079049823384242,0.8803309546732766,7,0.4117661502145368,0.024347461347812197,1.256607324553692,-1,42,0
85,9.401106021915467,239,2,0.03010180059694564,0.7283165170775306,0.8424865645960706,10,0.3333920168648012,0.006968119506004506,1.4001521414651237,-1,42,0
86,9.774951783016997,238,2,0.12624190390905116,0.613406096595292,0.8332312788146313,9,0.3214260910737491,0.07720124925523388,1.839101550944475,-1,42,0
87,9.360011409312754,283,2,0.022943086023626897,0.5812329846862635,0.8485922352313608,6,1.8558180668177715,0.007041317221775731,1.3993104978572626,-1,42,0
88,9.451922775955886,294,3,0.022472457027297464,0.5782254114324605,0.7833525498215759,8,0.8557927732112035,0.014453918723233698,1.4046942631966608,-1,42,0
89,9.414592800793347,337,2,0.029488322088486986,0.5261545207395956,0.8462242347926016,6,1.7178536509657176,0.00015154563382644668,1.5179380818686585,-1,42,0
90,9.421844381521414,281,2,0.026593501832248668,0.600451174994911,0.8211973569872217,10,0.08430316181387741,0.001261879149044935,1.9279035750693903,-1,42,0
91,9.52897657734639,202,2,0.0228222441127183,0.7292730657610101,0.9219258059611042,3,0.6427026108495149,0.007127410947478151,1.3032981922604174,-1,42,0
92,9.443379378310194,168,2,0.030697435923746044,0.6697374591152347,0.869584793988817,10,0.4892256877865187,0.012736715399679577,1.664848926589592,-1,42,0
93,9.53583331106375,248,2,0.03797485365477547,0.6170408370886693,0.9712336599232763,7,0.1518349498742127,0.007926600561394657,1.4499765235337403,-1,42,0
94,9.460167235778258,322,2,0.016866227473874056,0.6398515921254905,0.885214776320063,8,2.045327048167441,0.004478436330202012,1.376836476440463,-1,42,0
95,9.779942560556773,126,2,0.02119743535963617,0.6944366010451151,0.9515072427541629,10,1.029689492570341,0.022589737707932676,1.5862884417153127,-1,42,0
96,9.550321040935343,346,2,0.015179962698909576,0.5886552108299804,0.7956783456545021,11,0.3117814327313509,0.0028495458214648755,1.7064858298222427,-1,42,0
97,9.466690790399774,175,3,0.0266613408555343,0.5633819060412383,0.9369748668038707,9,0.7107418855766844,0.00196297811377855,1.5120235900261516,-1,42,0
98,9.352070699537121,208,2,0.03410454553888458,0.6592886316997338,0.844402016161718,6,0.1934847660833423,0.009129544913782896,1.6490605468811896,-1,42,0
99,9.366624390748168,428,2,0.03383207457004277,0.7238604024304104,0.8412220248757231,6,3.9067169839374065,0.009446703685165626,1.7551519806201716,-1,42,0
